customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,tech_support,streaming_tv,contract,paperless_billing,payment_method,monthly_charges,total_charges,num_support_calls,churn
CUST00001,Male,0,Yes,No,36,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card,35.59,1289.02,0,No
CUST00002,Female,0,No,Yes,60,Yes,No phone service,Fiber optic,No,Yes,No internet service,Two year,Yes,Credit card,66.68,4029.79,0,Yes
CUST00003,Male,0,Yes,No,33,Yes,No phone service,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card,57.44,1925.64,2,Yes
CUST00004,Male,0,No,No,69,Yes,No phone service,Fiber optic,No,No internet service,No,Month-to-month,Yes,Mailed check,36.19,2518.03,2,No
CUST00005,Male,0,Yes,Yes,16,Yes,No,Fiber optic,No internet service,No internet service,Yes,Two year,No,Mailed check,63.89,1041.38,1,No
CUST00006,Female,0,No,No,19,Yes,No phone service,Fiber optic,No,Yes,No internet service,Month-to-month,No,Bank transfer,61.03,1171.84,1,Yes
CUST00007,Male,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,No,Mailed check,31.4,2277.35,0,No
CUST00008,Male,0,Yes,Yes,58,Yes,No,DSL,No,Yes,Yes,Month-to-month,No,Credit card,31.38,1844.96,2,No
CUST00009,Male,0,No,No,68,Yes,No,DSL,No,No,No internet service,Month-to-month,Yes,Credit card,84.05,5727.78,3,No
CUST00010,Female,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No internet service,Yes,Two year,Yes,Credit card,90.07,2921.38,0,No
CUST00011,Male,0,Yes,No,16,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card,114.0,1859.45,2,No
CUST00012,Male,0,Yes,No,56,Yes,Yes,DSL,No,No internet service,Yes,One year,No,Credit card,26.87,1518.19,2,No
CUST00013,Male,1,No,No,0,Yes,No phone service,DSL,Yes,No,Yes,Month-to-month,No,Electronic check,30.02,4.87,1,No
CUST00014,Male,0,No,No,12,Yes,No phone service,DSL,No,No,No internet service,Month-to-month,Yes,Bank transfer,23.29,279.49,2,No
CUST00015,Female,0,Yes,No,26,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer,72.29,1909.38,0,No
CUST00016,Male,0,Yes,No,69,Yes,No,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,81.52,5635.45,2,No
CUST00017,Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,Credit card,59.16,3431.91,0,No
CUST00018,Female,1,No,No,5,Yes,No phone service,No,Yes,No internet service,No internet service,One year,No,Electronic check,99.39,514.9,3,No
